City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nicolet,CA,46.2168,-72.6158,49.71,63,1,11.5,clear sky
1,Hithadhoo,MV,-0.6,73.0833,82.4,75,100,13.24,overcast clouds
2,Udala,ES,43.0778,-2.5125,47.79,85,96,5.93,overcast clouds
3,Inhambane,MZ,-23.865,35.3833,76.98,88,40,10.36,scattered clouds
4,Westport,US,41.1415,-73.3579,54.99,48,1,5.99,clear sky
5,Ulaanbaatar,MN,47.9077,106.8832,-7.47,71,0,2.24,clear sky
6,Saldanha,ZA,-33.0117,17.9442,62.65,69,99,17.83,overcast clouds
7,San Antonio,US,29.4241,-98.4936,67.19,60,1,3.44,clear sky
8,New Norfolk,AU,-42.7826,147.0587,53.1,61,84,4.0,broken clouds
9,Port Alfred,ZA,-33.5906,26.891,63.36,81,100,4.94,overcast clouds
10,Castro,BR,-24.7911,-50.0119,76.82,69,54,4.47,broken clouds
11,Ouesso,CG,1.6136,16.0517,73.38,95,98,3.58,light rain
12,Ahipara,NZ,-35.1667,173.1667,56.21,94,11,2.75,few clouds
13,Burewala,PK,30.1667,72.65,70.86,28,0,3.87,clear sky
14,Chapais,CA,49.7834,-74.8492,38.98,77,68,12.62,broken clouds
15,Menomonie,US,44.8755,-91.9193,61.57,51,0,5.75,clear sky
16,Hilo,US,19.7297,-155.09,79.29,76,1,8.05,clear sky
17,Kurumkan,RU,54.3,110.3,11.34,91,82,3.38,broken clouds
18,Pisco,PE,-13.7,-76.2167,71.02,77,0,11.5,clear sky
19,Mataura,NZ,-46.1927,168.8643,49.48,98,66,0.89,broken clouds
20,Quchan,IR,37.106,58.5095,40.28,64,98,1.03,overcast clouds
21,Hermanus,ZA,-34.4187,19.2345,61.9,63,62,8.23,broken clouds
22,Avarua,CK,-21.2078,-159.775,73.45,73,40,5.75,scattered clouds
23,Rikitea,PF,-23.1203,-134.9692,75.18,81,100,16.49,overcast clouds
24,Tasiilaq,GL,65.6145,-37.6368,26.76,70,76,7.36,broken clouds
25,Thai Binh,VN,20.45,106.3333,77.0,91,15,6.44,few clouds
26,Shimoda,JP,34.6667,138.95,57.11,85,100,12.48,heavy intensity rain
27,Ponta Do Sol,PT,32.6667,-17.1,71.71,57,15,6.78,few clouds
28,Khatanga,RU,71.9667,102.5,11.32,93,100,13.8,overcast clouds
29,Airai,TL,-8.9266,125.4092,63.05,92,44,0.98,scattered clouds
30,Ushuaia,AR,-54.8,-68.3,47.86,53,75,14.97,broken clouds
31,Ugoofaaru,MV,5.6667,73.0,81.66,79,70,15.88,broken clouds
32,Albany,US,42.6001,-73.9662,51.62,54,16,1.97,few clouds
33,Busselton,AU,-33.65,115.3333,46.09,82,0,10.04,clear sky
34,Cape Town,ZA,-33.9258,18.4232,63.27,61,20,1.99,few clouds
35,Hit,IQ,33.6416,42.8251,71.82,30,0,12.39,clear sky
36,Butaritari,KI,3.0707,172.7902,81.79,71,100,14.97,overcast clouds
37,Urucara,BR,-2.5364,-57.76,96.04,39,72,2.28,broken clouds
38,Mar Del Plata,AR,-38.0023,-57.5575,55.42,79,0,8.99,clear sky
39,Roebourne,AU,-20.7833,117.1333,78.69,61,59,13.22,broken clouds
40,Thompson,CA,55.7435,-97.8558,30.36,93,90,8.05,light snow
41,Bredasdorp,ZA,-34.5322,20.0403,61.92,51,94,8.05,overcast clouds
42,Georgetown,MY,5.4112,100.3354,80.53,92,40,4.61,scattered clouds
43,Emerald,AU,-23.5333,148.1667,73.54,73,69,9.22,broken clouds
44,Itarema,BR,-2.9248,-39.9167,88.86,56,43,16.2,scattered clouds
45,Comodoro Rivadavia,AR,-45.8667,-67.5,85.86,9,0,13.8,clear sky
46,Tiksi,RU,71.6872,128.8694,-4.72,93,72,12.57,broken clouds
47,Puerto Del Rosario,ES,28.5004,-13.8627,71.28,64,20,26.46,few clouds
