City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rincon,US,2021-10-30 22:26:14,32.296,-81.2354,62.56,72,75,9.22
1,Cape Town,ZA,2021-10-30 22:23:21,-33.9258,18.4232,63.09,81,0,1.99
2,Sitka,US,2021-10-30 22:28:04,57.0531,-135.33,48.09,61,90,10.36
3,Kieta,PG,2021-10-30 22:28:05,-6.2167,155.6333,80.29,81,97,4.21
4,Kiunga,PG,2021-10-30 22:28:05,-6.1219,141.2906,76.77,93,61,0.6
5,Poya,NC,2021-10-30 22:27:37,-21.35,165.15,79.29,58,3,0.76
6,Mehamn,NO,2021-10-30 22:28:06,71.0357,27.8492,38.44,78,92,7.34
7,Hobart,AU,2021-10-30 22:26:05,-42.8794,147.3294,59.25,57,75,4.0
8,Portland,US,2021-10-30 22:27:39,45.5234,-122.6762,63.61,40,20,5.01
9,Mataura,NZ,2021-10-30 22:28:07,-46.1927,168.8643,49.66,96,100,12.59
10,Jamestown,US,2021-10-30 22:24:44,42.097,-79.2353,53.29,86,90,1.01
11,Albany,US,2021-10-30 22:27:52,42.6001,-73.9662,57.61,91,93,3.33
12,Arrifes,PT,2021-10-30 22:28:08,37.7667,-25.7,72.23,94,75,13.8
13,Ushuaia,AR,2021-10-30 22:28:08,-54.8,-68.3,51.46,46,0,18.41
14,Barrow,US,2021-10-30 22:28:09,71.2906,-156.7887,15.82,79,90,6.91
15,Tongliao,CN,2021-10-30 22:28:09,43.6125,122.2653,36.41,62,75,12.97
16,Georgetown,MY,2021-10-30 22:24:41,5.4112,100.3354,78.73,92,40,1.01
17,Qaanaaq,GL,2021-10-30 22:28:10,77.484,-69.3632,2.73,53,0,8.55
18,East London,ZA,2021-10-30 22:28:11,-33.0153,27.9116,64.53,84,80,6.85
19,Rikitea,PF,2021-10-30 22:28:11,-23.1203,-134.9692,75.02,85,80,21.12
20,Drabiv,UA,2021-10-30 22:28:12,49.963,32.1529,43.54,77,0,7.34
21,Ilulissat,GL,2021-10-30 22:28:13,69.2167,-51.1,37.42,60,20,17.27
22,Ketchikan,US,2021-10-30 22:28:13,55.3422,-131.6461,46.87,81,1,8.05
23,Paamiut,GL,2021-10-30 22:28:14,61.994,-49.6678,31.82,77,82,13.6
24,Motygino,RU,2021-10-30 22:28:14,58.1831,94.7592,24.94,61,96,8.37
25,Punta Arenas,CL,2021-10-30 22:24:46,-53.15,-70.9167,53.71,43,0,14.97
26,Monkey Bay,MW,2021-10-30 22:28:15,-14.0728,34.9201,80.11,50,1,5.19
27,Torva,EE,2021-10-30 22:28:15,58.0028,25.935,46.42,90,100,6.89
28,Bluff,NZ,2021-10-30 22:28:16,-46.6,168.3333,51.53,90,95,25.84
29,Hithadhoo,MV,2021-10-30 22:28:16,-0.6,73.0833,82.85,75,100,20.67
30,Nikolskoye,RU,2021-10-30 22:28:17,59.7035,30.7861,47.01,92,91,7.25
31,Necochea,AR,2021-10-30 22:28:17,-38.5473,-58.7368,55.04,79,100,16.75
32,Lompoc,US,2021-10-30 22:28:18,34.6391,-120.4579,77.02,78,1,17.27
33,Geraldton,AU,2021-10-30 22:28:18,-28.7667,114.6,52.21,87,0,9.22
34,Coquimbo,CL,2021-10-30 22:27:13,-29.9533,-71.3436,60.53,77,0,10.36
35,Airai,TL,2021-10-30 22:28:19,-8.9266,125.4092,63.64,85,29,0.72
36,Ahipara,NZ,2021-10-30 22:28:20,-35.1667,173.1667,61.77,85,100,7.94
37,Faya,SA,2021-10-30 22:26:05,18.3851,42.4509,59.11,47,0,6.13
38,Busselton,AU,2021-10-30 22:28:20,-33.65,115.3333,46.04,89,94,5.28
39,Kapaa,US,2021-10-30 22:27:12,22.0752,-159.319,81.48,85,40,3.0
40,Ihosy,MG,2021-10-30 22:28:21,-22.4,46.1167,63.82,87,63,4.88
41,Thompson,CA,2021-10-30 22:28:21,55.7435,-97.8558,35.76,87,90,9.22
42,Hasaki,JP,2021-10-30 22:28:22,35.7333,140.8333,54.28,62,82,7.09
43,Rassvet,RU,2021-10-30 22:28:22,46.8333,40.75,42.13,85,0,11.18
44,Atar,MR,2021-10-30 22:28:23,20.5169,-13.0499,84.4,24,100,5.08
45,Kavaratti,IN,2021-10-30 22:29:23,10.5669,72.642,81.68,72,81,2.13
46,Panjab,AF,2021-10-30 22:29:24,34.388,67.0233,30.96,37,4,5.3
47,Dunedin,NZ,2021-10-30 22:29:25,-45.8742,170.5036,59.81,90,62,11.01
48,Puerto Ayora,EC,2021-10-30 22:29:25,-0.7393,-90.3518,78.76,82,96,9.57
49,Vaini,TO,2021-10-30 22:29:25,-21.2,-175.2,78.96,83,20,11.5
50,Avarua,CK,2021-10-30 22:29:26,-21.2078,-159.775,77.05,57,20,14.97
51,Kondoa,TZ,2021-10-30 22:29:26,-4.9,35.7833,65.79,82,90,6.98
52,Laguna,US,2021-10-30 22:29:27,38.421,-121.4238,74.23,71,20,4.0
53,Ribeira Grande,PT,2021-10-30 22:29:28,38.5167,-28.7,70.77,89,100,16.33
54,San Cristobal,VE,2021-10-30 22:29:28,7.7669,-72.225,68.18,96,99,2.33
55,Nanortalik,GL,2021-10-30 22:25:20,60.1432,-45.2371,34.45,72,60,2.59
56,Atbasar,KZ,2021-10-30 22:29:29,51.8,68.3333,36.77,96,100,22.88
57,Aland,IN,2021-10-30 22:29:29,17.5667,76.5667,70.57,75,13,10.02
58,Saint-Philippe,RE,2021-10-30 22:29:30,-21.3585,55.7679,69.39,80,80,3.13
59,Sembe,CG,2021-10-30 22:29:30,1.6481,14.5806,71.62,97,70,1.63
60,Khor,RU,2021-10-30 22:29:31,47.8861,134.9464,34.21,85,98,10.63
61,Kodiak,US,2021-10-30 22:29:31,57.79,-152.4072,47.71,81,90,33.38
62,Butaritari,KI,2021-10-30 22:26:01,3.0707,172.7902,82.38,73,24,6.2
63,Victoria,HK,2021-10-30 22:29:32,22.2855,114.1577,75.33,83,95,1.01
64,Hilo,US,2021-10-30 22:29:32,19.7297,-155.09,82.26,70,40,8.05
65,Slave Lake,CA,2021-10-30 22:29:33,55.2834,-114.769,39.18,52,1,12.66
66,Clifton Springs,AU,2021-10-30 22:29:33,-38.15,144.5667,57.56,75,3,5.01
67,Leh,IN,2021-10-30 22:29:34,34.1667,77.5833,23.92,58,3,4.32
68,Bonavista,CA,2021-10-30 22:29:35,48.6499,-53.1147,42.12,66,1,3.27
69,Fairbanks,US,2021-10-30 22:24:45,64.8378,-147.7164,43.14,65,1,11.5
70,Hermanus,ZA,2021-10-30 22:29:35,-34.4187,19.2345,61.9,87,58,8.39
71,Yinchuan,CN,2021-10-30 22:29:36,38.4681,106.2731,42.08,45,0,7.07
72,Dawlatabad,AF,2021-10-30 22:29:36,36.4141,64.9053,53.51,46,96,4.36
73,Lugovoy,KZ,2021-10-30 22:29:37,42.9472,72.7644,45.16,63,100,4.25
74,Ponta Do Sol,PT,2021-10-30 22:27:19,32.6667,-17.1,71.71,74,39,6.44
75,Dudinka,RU,2021-10-30 22:29:37,69.4058,86.1778,10.24,96,100,4.5
76,Esmeraldas,BR,2021-10-30 22:29:38,-19.7625,-44.3139,77.86,82,98,6.71
77,Fortuna,US,2021-10-30 22:25:18,40.5982,-124.1573,67.91,67,20,3.0
78,Bethel,US,2021-10-30 22:29:39,41.3712,-73.414,58.5,92,75,1.01
